supplier_sum,supplier_name,No,Institution_name,Item_desp,Service_desp,Unit_price,Quantity,UOM,Date_order,Order_amount,Date_payments,Payments,pay_num,order_num,Cleaned_name,Cleaned_supplier,CSD_Registration_No
2463086707.48,pfizer laboratories,18208,HEALTH,Other,Vaccines,133.07,4498650,Each,14/09/2021,"R598,625,908.34",14/09/2021,"R598,625,818",598625818,598625908.3,Department of health,pfizer laboratories,MAAA0019202
2463086707.48,pfizer laboratories,18209,HEALTH,Other,Vaccines,133.07,4498650,Each,14/09/2021,"R598,625,818.36",17/09/2021,"R598,625,818",598625818,598625818.4,Department of health,pfizer laboratories,MAAA0019202
2463086707.48,pfizer laboratories,43727,HEALTH,Other,Vaccines,166.81,4000460,Each,4/9/2021,"R667,330,449.72",14/04/2021,"R667,328,169",667328169,667330449.7,Department of health,pfizer laboratories,MAAA0019202
2463086707.48,pfizer laboratories,43728,HEALTH,Other,Vaccines,133.46,4484610,Each,4/9/2021,"R598,506,902.58",14/04/2021,"R598,506,902",598506902,598506902.6,Department of health,pfizer laboratories,MAAA0019202
515656952.0,mainstreet,44297,THE ELECTORAL COMMISSION,PPE000 Other PPEs,Surgical Masks for employees,12.1,681,Box of 50,5/6/2020,"R412,005.00",,"R412,005",412005,412005.0,Electoral commission (iec),red roses africa,MAAA0318319
515656952.0,mainstreet,44337,THE ELECTORAL COMMISSION,PPE011 Digital thermometer,0,"1,580.00",305,Each,5/6/2020,"R481,900.00",,"R481,900",481900,481900.0,Electoral commission (iec),red roses africa,MAAA0318319
515656952.0,mainstreet,44345,THE ELECTORAL COMMISSION,PPE013 Biohazard bags,0,1.74,9000,Each,5/6/2020,"R15,660.00",,"R15,660",15660,15660.0,Electoral commission (iec),red roses africa,MAAA0318319
515656952.0,mainstreet,44390,THE ELECTORAL COMMISSION,PPE020 Hand sanitisers and disinfectants,0,39.4,1355,500ml,5/6/2020,"R53,387.00",,"R53,387",53387,53387.0,Electoral commission (iec),red roses africa,MAAA0318319
515656952.0,red roses arica (mainstreet 699),42959,SA POLICE SERVICE,PPE001 Surgical masks for patients,0,14.12,2000000,Box of 50,4/1/2020,"R28,244,000.00",19/05/2020,"R28,244,000",28244000,28244000.0,Sa police service,red roses africa,MAAA0318319
515656952.0,red roses arica (mainstreet 699),43002,SA POLICE SERVICE,PPE020 Hand sanitisers and disinfectants,0,"5,405.00",90000,25 Litre,4/1/2020,"R486,450,000.00",19/05/2020,"R486,450,000",486450000,486450000.0,Sa police service,red roses africa,MAAA0318319
326839362.45,enza construction,63,GAUTENG - HEALTH,Infrastructure,0,0,571951,Each,31/08/2020,"R571,951,274.00",19/05/2021,"R28,127,157",28127157,571951274.0,Gauteng - health,enza construction,MAAA0083873
326839362.45,enza construction,27594,GAUTENG - HEALTH,0,0,0,0,0,,R0.00,8/4/2021,"R2,781,114",2781114,0.0,Gauteng - health,enza construction,MAAA0083873
326839362.45,enza construction,27596,GAUTENG - HEALTH,0,0,0,0,0,,R0.00,8/12/2021,"R8,939,295",8939295,0.0,Gauteng - health,enza construction,MAAA0083873
326839362.45,enza construction,27665,GAUTENG - HEALTH,0,0,0,1,0,,"R5,925,779.46",17/06/2021,"R5,925,779",5925779,5925779.46,Gauteng - health,enza construction,MAAA0083873
326839362.45,enza construction,27985,GAUTENG DEPARTMENT OF HEALTH,0,Renovation,,1,EA,,R0.00,16/04/2021,"R10,122,430",10122430,0.0,Gauteng - health,enza construction,MAAA0083873
326839362.45,enza construction,33044,GAUTENG - HEALTH,Infrastructure,0,"233,590,803.00",1,Each,,"R496,616,790.30",,"R173,876,656",173876656,496616790.3,Gauteng - health,enza construction,MAAA0083873
326839362.45,enza construction,33065,GAUTENG - INFRASTRUCTURE DEVELOPMENT,Infrastructure,"Designed, Construction and Commissioning of Hospital Facility Consisting of 500 ICU bed units on Turn key basis",0,0,Other UOM,,"R1,489,850,370.90",,R0,0,1489850371.0,Gauteng - infrastructure development,enza construction,MAAA0083873
326839362.45,enza construction,40143,GAUTENG DEPARTMENT OF HEALTH,Renovation,0,,547.422.304,Each,,R0.00,3/11/2021,"R4,248,583",4248583,0.0,Gauteng - health,enza construction,MAAA0083873
326839362.45,enza construction,43554,KWAZULU NATAL - HEALTH,Infrastructure,Ulundi - St Francis Hospital - Upgrade Existing TB Wards to Isolation Ward and Auxilarary building to Quarantine Ward,"62,357,466.60",1,per m2,4/8/2020,"R62,357,466.60",,"R62,357,467",62357467,62357466.6,Kwazulu natal - health,enza construction,MAAA0083873
326839362.45,enza construction,43555,KWAZULU NATAL - HEALTH,Infrastructure,Vryheid - Siloah Lutheran Mission Hospital - Upgrade Existing Wards to 11 bed Isolation Ward and upgrade exisiting Nurses Home,"52,303,720.40",1,per m2,4/8/2020,"R52,303,720.40",,"R52,303,720",52303720,52303720.4,Kwazulu natal - health,enza construction,MAAA0083873
270001403.12,masiqame trading,2785,WESTERN CAPE - EDUCATION,PPE000 Other PPEs,Gloves,75.66,3526,Each,29/04/2020,"R266,777.16",10/9/2020,"R266,550",266550,266777.16,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqame trading,11063,WESTERN CAPE - EDUCATION,PPE000 Other PPEs,Soap,635.53,506,25 Litre,21/05/2020,"R321,578.18",10/9/2020,"R321,578",321578,321578.18,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqame trading,44781,WESTERN CAPE - EDUCATION,PPE000 Other PPEs,Gloves,75.66,1030,Box of 100,5/8/2020,"R77,929.80",10/9/2020,"R77,930",77930,77929.8,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqame trading,44782,WESTERN CAPE - EDUCATION,PPE000 Other PPEs,Gloves,92.81,228,Box of 100,5/8/2020,"R21,160.68",10/9/2020,"R21,161",21161,21160.68,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqame trading,44783,WESTERN CAPE - EDUCATION,PPE000 Other PPEs,Gloves,92.81,80,Box of 100,5/8/2020,"R7,424.80",10/8/2020,"R7,425",7425,7424.8,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqame trading,44784,WESTERN CAPE - EDUCATION,PPE000 Other PPEs,Soap,635.53,1736,25 Litre,5/8/2020,"R1,103,280.08",10/9/2020,"R1,103,280",1103280,1103280.08,Western cape - education,masiqhame trading 1057,MAAA0083390
270001403.12,masiqame trading,44785,WESTERN CAPE - EDUCATION,PPE000 Other PPEs,Soap,595.18,2596,25 Litre,5/8/2020,"R1,545,087.28",22/10/2020,"R1,545,087",1545087,1545087.28,Western cape - education,masiqhame trading 1057,MAAA0083390
