Supplier_name,CSD_Registration_No,pay_num,No_of_orders,order_num,Count_of_institutions_serviced,Director
012 MANGALISO PROJECTS,MAAA0513953,0,1,1260,1,DHLAMINI BONGIWE VIOLET
012 MANGALISO PROJECTS,MAAA0513953,0,1,1260,1,DHLAMINI LETTIE
015 DEALERS,MAAA0031174,185500,2,185500,2,TEFFO THANDI GLORIA
1 COUSIN HOLDINGS,MAAA0321061,8200,2,8200,2,KHUZWAYO WEAVERS MINENHLE
1 MAN HOLDINGS,MAAA0522196,0,1,142608.8,1,Madlopha ZWELISHA MSAWENKOSI
1 Stop Medical Supplies CC,MAAA0008135,460000,3,747500,3,CHETTY FIONA
1 TIME SAFETY AND CHEMICALS,MAAA0669630,233441.95,7,233441.95,7,NAIDOO LAZRASS
100TH GENERATION GROUP,MAAA0775241,15300,1,15300,1,MASHILWANE Sipho Justice
100TH GENERATION GROUP,MAAA0775241,15300,1,15300,1,NHLEKO NQOBILE PRECIOUS
100TH GENERATION GROUP,MAAA0775241,15300,1,15300,1,RICKETTS RAMAPHALLA SELINAH
102 NGWALANGWALA TRADING ENTERPRIZE,MAAA0138013,0,3,4112.96,3,SHABANE ERNEST NHLANHLA
107 MARCUS CONSTRUCTION,MAAA0419868,29965,1,29965,1,MANYOKOLE BENJAMIN LUCKY
108 MANDLANE TRADING,MAAA0110504,17696.2,3,17696.2,3,DUNA BONGANI
12 AMAPHANTA TRADING,MAAA0529577,117645,2,117645,2,SHOZI CEBISILE LETHOKUHLE
13TH PAGE,MAAA0018662,0,1,14850,1,MOEKETSI MOGOBE NTOBENG DIDIMALANG
16 TWELVE SECURITY AND PROJECTS,MAAA0441840,72089.8,12,91209.8,12,SHAZI SANELE PROTUS
2 BOY TRADING AND PROJECTS,MAAA0224755,0,1,0,1,LUVHENGO tshifhiwa
20 SOMETHING ENTERPRISE,MAAA0685773,27920,1,24920,1,MKALANE VELA
2020 VISION PROJECTS,MAAA0874989,230000,1,230000,1,LIDZHADE NEO FREEDOM
21ST KINGS,MAAA0911773,620000,1,620000,1,MAHLANGU TIMOTHY NHLANHLA
21ST KINGS,MAAA0911773,620000,1,620000,1,PHOSHOKO DANIEL LESETSA
24 HOUR TRAVEL AGENCY,MAAA0618872,319750,1,319750,1,MOHOLOA MAOPA GIVEN
24 HOUR TRAVEL AGENCY,MAAA0618872,319750,1,319750,1,SIWELANA NEVER MCBRINE
247 KHOMPHO TRADING LOGISTICS,MAAA0003262,2516336.63,6,2516336.93,6,MTHALANE MPHO BRIGITTA
2GETHER CONSULTANCY AND PROJECTS,MAAA0009744,90000,6,90000,6,Cordom GERHARD SHANE
