Original_name,Cleaned_name, filter
Accounting standards board,Accounting standards board,TRUE
Airports company of south africa limited,Airports company of south africa limited,TRUE
Airports company south africa soc limited,Airports company of south africa limited,FALSE
All wcg departments,All wcg departments,TRUE
Amathole district municipality,Amathole district municipality,TRUE
Amazwi south african museum of literature,Amazwi south african museum of literature,TRUE
Armscor soc ltd,Armaments corporation of south africa,FALSE
Artscape,Artscape,TRUE
Beaufort west municipality,Beaufort west municipality,TRUE
Bela-bela local municipality,Bela-bela local municipality,TRUE
Bergrivier municipality,Bergrivier municipality,TRUE
Bitou municipality,Bitou municipality,TRUE
Blue crane route local municipality,Blue crane route local municipality,TRUE
Boxing south africa,Boxing south africa,TRUE
Brand south africa,Brand south africa,TRUE
Breede valley municipality,Breede valley municipality,TRUE
Broadband infraco soc,Broadband infraco soc,TRUE
Broadband infrastructure company (pty) ltd,Broadband infrastructure company (pty) ltd,TRUE
Buffalo city metropolitan development agency,Buffalo city metropolitan development agency,TRUE
Cape agency for sustainable integrated development in rural areas (casidra),Cape agency for sustainable integrated development in rural areas (casidra),TRUE
Cape agulhas municipality,Cape agulhas municipality,TRUE
Cape town international convention centre,Cape town international convention centre,TRUE
Cape town stadium,Cape town stadium,TRUE
Cape winelands district municipality,Cape winelands district municipality,TRUE
Castle control board,Castle control board,TRUE
Cederberg municipality,Cederberg municipality,TRUE
Cef (pty) ltd,Cef (pty) ltd,TRUE
Central karoo district municipality,Central karoo district municipality,TRUE
Chris hani district municipality,Chris hani district municipality,TRUE
City of cape town,City of cape town,TRUE
City of cape town municipality,City of cape town,FALSE
City council of johannesburg,City of johannesburg,FALSE
City of johannesburg - core,City of johannesburg,FALSE
Civilian secretariat for police,Civilian secretariat for police,TRUE
Coega development cooperation,Coega development corporation,FALSE
Coega development coperation,Coega development corporation,FALSE
Coega development corporation,Coega development corporation,TRUE
Coghsta,Coghsta,TRUE
Collins chabane local municipality,Collins chabane local municipality,TRUE
Communications,Communications,TRUE
Community schemes ombud services,Community schemes ombud services,TRUE
Companies and intellectual property commission,Companies and intellectual property commission,TRUE
Companies tribunal,Companies tribunal,TRUE
Competition tribunal,Competition tribunal,TRUE
Construction education and training authority,Construction education and training authority,TRUE
Contruction industry development board (cidb),Contruction industry development board (cidb),TRUE
Council for geoscience,Council for geosciences,FALSE
Council for geosciences,Council for geosciences,TRUE
Council for medical schemes,Council for medical schemes,TRUE
Council for scientific and industrial research (csir),Council for scientific and industrial research (csir),TRUE
Council on higher education,Council on higher education,TRUE
Cross border road transport agency,Cross border road transport agency,TRUE
Cross-border road transport agency,Cross border road transport agency,FALSE
Cross-border road transport agency (c-brta),Cross border road transport agency,FALSE
Culture arts tourism hospitality and sports education and training authority,Culture arts tourism hospitality and sports education and training authority,TRUE
Dannhauser local municipality,Dannhauser local municipality,TRUE
Dardlea,Dardlea,TRUE
Dbsa,Dbsa,TRUE
Dedt,Dedt,TRUE
Defence,Defence,TRUE
Denel (pty) ltd,Denel,FALSE
Denel soc ltd,Denel,FALSE
Denel soc ltd (april 2021),Denel,FALSE
Denel soc ltd (august 2021),Denel,FALSE
Denel soc ltd (july 2021),Denel,FALSE
Denel soc ltd (september 2021),Denel,FALSE
"Department of agriculture, rural development , land and environmental affairs","Department of agriculture, rural development, land and environmental affairs",FALSE
Cogta,Department of co-operative governance and traditional affairs,FALSE
Department of co-operative governance and traditional affairs,Department of co-operative governance and traditional affairs,TRUE
Department of community safety and transport management,Department of community safety and transport management,TRUE
Correctional services,Department of correctional services,FALSE
Department of correctional services,Department of correctional services,TRUE
"Department of culture, sport and recreation","Department of culture, sport and recreation",TRUE
Economic development,Department of economic development,FALSE
Department of economic development; tourism & environmental affairs,"Department of economic development, tourism & environmental affairs",FALSE
Basic education,Basic education,TRUE
Departmen of education,Department of education,FALSE
Department of education,Department of education,TRUE
Education,Education,TRUE
Department of employment and labour,Department of employment and labour,TRUE
"Department of environmental affairs, forestry and fisheries","Department of environmental affairs, forestry and fisheries",TRUE
Environmental affairs,Environmental affairs,FALSE
National department of health,Department of health,FALSE
Health,Department of health,FALSE
Department of human settlements,Department of human settlements,TRUE
Department of human sttlements,Department of human settlements,FALSE
National department of human settlements,Department of human settlements,FALSE
"Department of planning, monitoring & evaluation (dpme)","Department of planning, monitoring & evaluation (dpme)",TRUE
Planning monitoring and evaluation,"Department of planning, monitoring & evaluation (dpme)",FALSE
Public enterprises,Department of public enterprises,FALSE
Department of public enterprises,Department of public enterprises,TRUE
Public service & administration,Public service & administration,TRUE
Science & technology,Science & technology,TRUE
Department of small business development,Department of small business development,TRUE
Department of social development,Department of social development,TRUE
Depertment of social development,Department of social development,FALSE
Social development,Department of social development,FALSE
South african tourism,Department of tourism,FALSE
Tourism,Department of tourism,FALSE
Department of water and sanitation,Department of water and sanitation,TRUE
Water and sanitation,Department of water and sanitation,FALSE
"Department of women, youth and persons with disabilities","Department of women, youth and persons with disabilities",TRUE
National arts council,National arts council,TRUE
National arts council of south africa,National arts council,FALSE
National consumer tribunal,National consumer tribunal,TRUE
National development agency,National development agency,TRUE
National energy regulator of south africa,National energy regulator of south africa,TRUE
National film and video foundation of south africa,National film and video foundation of south africa,TRUE
National gambling board,National gambling board,TRUE
National gambling board of south africa,National gambling board,FALSE
National health laboratory service,National health laboratory service,TRUE
National heritage council,National heritage council,TRUE
National home builders registration council,National home builders registration council,TRUE
National library of south africa,National library of south africa,TRUE
National librray of south africa,National library of south africa,FALSE
National metrology institute of south africa,National metrology institute of south africa,TRUE
National museum bloemfontein,National museum bloemfontein,TRUE
National nuclear regulator,National nuclear regulator,TRUE
National prosecuting authority,National prosecuting authority,TRUE
National prosecuting authority (npa),National prosecuting authority,FALSE
National research foundation,National research foundation,TRUE
National school of government,National school of government,TRUE
National treasury,National treasury,TRUE
National youth development agency,National youth development agency,TRUE
Die afrikaanse taal museum,Die afrikaanse taal museum,TRUE
Dihlabeng local municipality,Dihlabeng local municipality,TRUE
Dipaleseng local municipality,Dipaleseng local municipality,TRUE
Ditsong museums of south africa,Ditsong museums of south africa,TRUE
Dr js moroka local municipality,Dr js moroka local municipality,TRUE
Dr pixley ka isaka seme local municipality,Dr pixley ka isaka seme local municipality,TRUE
Drakenstein municipality,Drakenstein municipality,TRUE
Driving license card account,Driving license card account,TRUE
Dube tradeport,Dube tradeport,TRUE
East london idz,East london idz,TRUE
Eastern cape - eastern cape arts council,Eastern cape - arts council,FALSE
Eastern cape - eastern cape development corporation,Eastern cape - development corporation,FALSE
Eastern cape - east london industrial development zone corporation,Eastern cape - east london industrial development zone corporation,TRUE
Eastern cape - economic development & environmental affairs,Eastern cape - economic development & environmental affairs,TRUE
Eastern cape - education,Eastern cape - education,TRUE
Eastern cape department of education,Eastern cape - education,FALSE
Eastern cape - eastern cape gambling and betting board,Eastern cape - gambling and betting board,FALSE
Eastern cape gambling board,Eastern cape - gambling and betting board,FALSE
Eastern cape department of health,Eastern cape - health,FALSE
Eastern cape - department of human settlements,Eastern cape - human settlements,FALSE
Eastern cape - human settlements,Eastern cape - human settlements,TRUE
Eastern cape - legislature,Eastern cape - legislature,TRUE
Eastern cape provincial legislature,Eastern cape - provincial legislature,FALSE
Eastern cape - eastern cape liquor board,Eastern cape - liquor board,FALSE
Eastern cape liquor board,Eastern cape - liquor board,FALSE
Eastern cape - local government and traditional affairs,Eastern cape - local government and traditional affairs,FALSE
Eastern cape department of cooperative governance and traditional affairs,Eastern cape - cooperative governance and traditional affairs,FALSE
Eastern cape - mayibuye transport corporation,Eastern cape - mayibuye transport corporation,TRUE
Eastern cape - officer of the premier,Eastern cape - officer of the premier,TRUE
Eastern cape - eastern cape parks and tourism agency,Eastern cape - parks and tourism agency,FALSE
Eastern cape - provincial treasury,Eastern cape - provincial treasury,TRUE
Eastern cape - roads and public works,Eastern cape - public works,FALSE
Eastern cape - roads and public works & infrastructure,Eastern cape - public works,FALSE
Eastern cape department of public works & infrastructure,Eastern cape - public works,FALSE
Eastern cape public works,Eastern cape - public works,FALSE
Eastern cape rural development agency,Eastern cape - rural development agency,FALSE
Eastern cape - rural development and agrarian reform,Eastern cape - rural development and agrarian reform,TRUE
Eastern cape - safety and liaison,Eastern cape - safety and liaison,TRUE
Eastern cape - social development and special programmes,Eastern cape - social development and special programmes,TRUE
Eastern cape - eastern cape socio-economic consultative council,Eastern cape - socio-economic consultative council,FALSE
Eastern cape - socio economic consultative council,Eastern cape - socio-economic consultative council,FALSE
Eastern cape - south african social security agency,Eastern cape - south african social security agency,TRUE
Sassa eastern cape,Eastern cape - south african social security agency,FALSE
Sassa ec region,Eastern cape - south african social security agency,FALSE
Eastern cape - sport recreation arts and culture,Eastern cape - sport recreation arts and culture,TRUE
Eastern cape - transport,Eastern cape - transport,TRUE
Education training and development practices seta,Education training and development practices seta,TRUE
Etdp seta,Education training and development practices seta,FALSE
Electoral commission,Electoral commission (iec),FALSE
Electoral commission (iec),Electoral commission (iec),TRUE
The electoral commission,Electoral commission (iec),FALSE
Elias motsoaledi local municipality,Elias motsoaledi local municipality,TRUE
Elundini local municipality,Elundini local municipality,TRUE
Emakhazeni local municipality,Emakhazeni local municipality,TRUE
Emalahleni local municipality,Emalahleni local municipality,TRUE
Emfuleni local municipality,Emfuleni local municipality,TRUE
Employment and labour,Department of employment and labour,FALSE
Engcobo local municipality,Engcobo local municipality,TRUE
Enoch mgijima local municipality,Enoch mgijima local municipality,TRUE
Ephraim mogale local municipality,Ephraim mogale local municipality,TRUE
Eskom koeberg nuclear power station,Eskom koeberg nuclear power station,TRUE
Estate agency affairs board,Estate agency affairs board,TRUE
Ethekwini metropolitan municipality,Ethekwini municipality,FALSE
Ethekwini municipality,Ethekwini municipality,TRUE
Export credit insurance corporation of south africa limited,Export credit insurance corporation of south africa limited,TRUE
Fais ombud,Fais ombud,TRUE
Fetakgomo tubatse local municipality,Fetakgomo tubatse local municipality,TRUE
Fezile dabi district municipality,Fezile dabi district municipality,TRUE
Film and publication board,Film and publication board,TRUE
Financial and accounting services seta,Financial and accounting services seta,TRUE
Financial intelligence centre,Financial intelligence centre,TRUE
Food and beverages manufacturing industry,Food and beverages manufacturing industry,TRUE
Performing arts center of the free state,Free state - Performing arts center,FALSE
Performing arts centre of the free state,Free state - Performing arts center,FALSE
Performing arts council of the free state,Free state - Performing arts center,FALSE
Free state - public works,Free state - public works,TRUE
Freedom park,Freedom park,TRUE
Freedom park trust,Freedom park,FALSE
Gammatec ndt supplies soc ltd,Gammatec ndt supplies soc ltd,TRUE
Garden route district local municipality,Garden route district local municipality,TRUE
Gateway airports authority limited,Gateway airports authority limited,TRUE
Gauteng - agriculture and rural development,Gauteng - agriculture and rural development,TRUE
Gauteng - co-operative governance & traditional affairs (cogta),Gauteng - co-operative governance & traditional affairs (cogta),TRUE
Gauteng - community safety,Gauteng - community safety,TRUE
Gauteng department of community safety,Gauteng - community safety,FALSE
Gauteng - cradle of humankind world heritage site,Gauteng - cradle of humankind world heritage site,TRUE
Gauteng - gauteng department of e-government,Gauteng - e-government,FALSE
Gauteng - economic development,Gauteng - economic development,TRUE
Gauteng - gauteng economic development agency,Gauteng - economic development,FALSE
Gauteng - education,Gauteng - education,TRUE
Gauteng - film commission,Gauteng - film commission,TRUE
Gauteng film commission,Gauteng - film commission,FALSE
Gauteng g-fleet,Gauteng - g-fleet,FALSE
Gauteng - gauteng gambling board,Gauteng - gambling board,FALSE
Gauteng - gautrain management agency,Gauteng - gautrain management agency,TRUE
Gauteng growth and development agency (ggda),Gauteng - growth and development agency (ggda),FALSE
Gauteng - health,Gauteng - health,TRUE
Gauteng department of health,Gauteng - health,FALSE
Gauteng - gauteng department of human settlements,Gauteng - human settlements,FALSE
Gauteng department of human settlements,Gauteng - human settlements,FALSE
Gauteng - infrastructure development,Gauteng - infrastructure development,TRUE
Gauteng - gauteng infrastructure funding agency,Gauteng - infrastructure funding agency,FALSE
Gauteng - officer of the premier,Gauteng - officer of the premier,TRUE
Gauteng partnership fund,Gauteng - partnership fund,FALSE
Gauteng - provincial treasury,Gauteng - provincial treasury,TRUE
Gauteng provincial treasury,Gauteng - provincial treasury,FALSE
Gauteng department of roads and transport,Gauteng - roads and transport,FALSE
Gauteng - social development,Gauteng - social development,TRUE
Gauteng department of social development,Gauteng - social development,FALSE
Gauteng - sport arts culture and recreation,Gauteng - sport arts culture and recreation,TRUE
Gauteng - gauteng tourism authority,Gauteng - tourism authority,FALSE
George municipality,George municipality,TRUE
Gert sibande district municipality,Gert sibande district municipality,TRUE
Government communications & information system,Government communications & information system,TRUE
Government printing works,Government printing works,TRUE
Great kei local municipality,Great kei local municipality,TRUE
Hessequa,Hessequa municipality,FALSE
Hessequa municipality,Hessequa municipality,TRUE
Higher education & training,Higher education and training,FALSE
Higher education and training,Higher education and training,TRUE
Home affairs,Home affairs,TRUE
Human settlements,Human settlements,TRUE
Hwseta,Hwseta,TRUE
Ilembe district municipality - kzn,Ilembe district municipality - kzn,TRUE
Ingquza hill local municipality,Ingquza hill local municipality,TRUE
Inkomati catchment management agency,Inkomati catchment management agency,TRUE
Inseta,Inseta,TRUE
Interfront,Interfront,TRUE
International relations & cooperation,International relations & cooperation,TRUE
Intsika yethu local  municipality,Intsika yethu local municipality,FALSE
Intsika yethu local municipality,Intsika yethu local municipality,TRUE
Inxuba yethemba local  municipality,Inxuba yethemba local  municipality,TRUE
Inxuba yethemba local municipality,Inxuba yethemba local municipality,TRUE
Ithala development finance corporation limited,Ithala development finance corporation limited,TRUE
Iucma,Iucma,TRUE
Iziko museums of cape town,Iziko museums of cape town,TRUE
Joe gqabi district municipality,Joe gqabi district municipality,TRUE
Joe morolong local municipality,Joe morolong local municipality,TRUE
Johanesburg roads agency,Johanesburg roads agency,TRUE
Johannesburg metropolitan bus  services (soc) ltd,Johannesburg metropolitan bus services (soc) ltd,FALSE
Johannesburg social housing company (joshco),Johannesburg social housing company (joshco),TRUE
John taolo gaetsewe district municipality,John taolo gaetsewe district municipality,TRUE
Justice & constitutional development,Justice & constitutional development,TRUE
Kannaland municipality,Kannaland municipality,TRUE
Karoo hoogland local municipality,Karoo hoogland local municipality,TRUE
King sabata dalindyebo local municipality,King sabata dalindyebo local municipality,TRUE
Knysna municipality,Knysna municipality,TRUE
Kopanong local municipality,Kopanong local municipality,TRUE
Kouga local municipality,Kouga local municipality,TRUE
Koukamma municipality,Koukamma municipality,TRUE
Kwa-zulu natal - amafa akwazulu natali,Kwazulu natal - amafa akwazulu natali,FALSE
Kwa-zulu natal - ezemvelo kwazulu-natal wildlife,Kwazulu natal - ezemvelo kwazulu-natal wildlife,FALSE
Kwa-zulu natal - ithala development finance corporation,Kwazulu natal - ithala development finance corporation,FALSE
Kwa-zulu natal - natal sharks board,Kwazulu natal - sharks board,FALSE
Kwazulu-natal sharks board,Kwazulu natal - sharks board,FALSE
Kwa-zulu natal - agri-business development agency,Kwazulu natal - agri-business development agency,FALSE
Kwazulu natal - agriculture environmental affairs and rural development,Kwazulu natal - agriculture environmental affairs and rural development,TRUE
Kwazulu natal - arts and culture,Kwazulu natal - arts and culture,TRUE
Kwazulu natal department of arts and culture,Kwazulu natal - arts and culture,FALSE
Kwazulu natal - community safety and liaison,Kwazulu natal - community safety and liaison,TRUE
Kwazulu natal community safety and liaison,Kwazulu natal - community safety and liaison,FALSE
Kwazulu natal - cooperative governance and traditional affairs,Kwazulu natal - cooperative governance and traditional affairs,TRUE
Kwazulu natal - economic development and tourism,Kwazulu natal - economic development and tourism,TRUE
Kwazulu natal - education,Kwazulu natal - education,TRUE
Kwazulu-natal film commission,Kwazulu natal - film commission,FALSE
Kwa-zulu natal - kwazulu-natal gaming and betting board,Kwazulu natal - gaming and betting board,FALSE
Kzn growth fund trust,Kwazulu natal - growth fund trust,FALSE
Kwazulu natal - health,Kwazulu natal - health,TRUE
Kwazulu natal - human settlements,Kwazulu natal - human settlements,TRUE
Kzn human settlements,Kwazulu natal - human settlements,FALSE
Kwa zulu natal liqour authority,Kwazulu natal - liqour authority,FALSE
Kwazulu-natal liquor authority,Kwazulu natal - liqour authority,FALSE
Kwazulu natal - office of the premier,Kwazulu natal - office of the premier,TRUE
Kwazulu natal - provincial legislature,Kwazulu natal - provincial legislature,TRUE
Kwazulu natal - provincial treasury,Kwazulu natal - provincial treasury,TRUE
Kwazulu natal - public works (head office),Kwazulu natal - public works (head office),TRUE
Kwazulu natal - social development,Kwazulu natal - social development,TRUE
Kwazulu-natal - social development,Kwazulu natal - social development,FALSE
Kzn department of social development,Kwazulu natal - social development,FALSE
Sassa kzn region,Kwazulu natal - south african social security agency,FALSE
Kwazulu natal - sport and recreation,Kwazulu natal - sport and recreation,TRUE
Tourism kwazulu natal,Kwazulu natal - tourism,FALSE
Tourism kwazulu-natal,Kwazulu natal - tourism,FALSE
Kwazulu-natal tourism authority,Kwazulu natal - tourism,FALSE
Kwa-zulu natal - trade and investment kwazulu-natal,Kwazulu natal - trade and investment,FALSE
Kwazulu natal - transport,Kwazulu natal - transport,TRUE
Kwazulu natal museum,Kwazulu natal museum,TRUE
Kwazulu-natal-social development,Kwazulu natal - social development,FALSE
Kzn amafa and research institute,Kwazulu natal amafa and research institute,FALSE
Laingsburg municipality,Laingsburg municipality,TRUE
Land and agricultural development bank of south africa,Land and agricultural development bank of south africa,TRUE
Langeberg municipality,Langeberg municipality,TRUE
Legal aid sa,Legal aid south africa,FALSE
Legal aid south africa,Legal aid south africa,TRUE
Lejweleputswa district municipality,Lejweleputswa district municipality,TRUE
Lekwa local municipality,Lekwa local municipality,TRUE
Lepelle nkumpi municipality,Lepelle nkumpi municipality,TRUE
Leplle northen water,Leplle northen water,TRUE
Lesedi local municipality,Lesedi local municipality,TRUE
Letsemeng local municipality,Letsemeng local municipality,TRUE
Limpopo - agriculture,Limpopo - agriculture,TRUE
Limpopo - economic development environment & tourism,Limpopo - economic development environment & tourism,TRUE
Limpopo - education,Limpopo - education,TRUE
Limpopo department of education,Limpopo - education,FALSE
Limpopo - limpopo gambling board,Limpopo - gambling board,FALSE
Limpopo gambling board,Limpopo - gambling board,FALSE
Limpopo - gateway airport authority limited,Limpopo - gateway airport authority limited,TRUE
Department of health limpopo province,Limpopo - health,FALSE
Limpopo - health,Limpopo - health,TRUE
Limpopo - local government and housing,Limpopo - local government and housing,TRUE
Limpopo - office of the premier,Limpopo - office of the premier,TRUE
Office of the premier limpopo,Limpopo - office of the premier,FALSE
Limpopo - provincial treasury,Limpopo - provincial treasury,TRUE
Limpopo provincial treasury,Limpopo - provincial treasury,FALSE
Limpopo - public works,Limpopo - public works,TRUE
Roads agency limpopo,Limpopo - roads agency,FALSE
Limpopo - limpopo roads agency,Limpopo - roads agency,FALSE
Limpopo - roads and transport,Limpopo - roads and transport,TRUE
Limpopo - social development,Limpopo - social development,TRUE
Limpopo - sport arts and culture,Limpopo - sport arts and culture,TRUE
Limpopo tourism agency,Limpopo - tourism agency,FALSE
Limpopo - limpopo tourism and parks board,Limpopo - tourism and parks board,FALSE
Limpopo-limpopo economic development agency,Limpopo - economic development agency,FALSE
Local government education and training authority,Local government education and training authority,TRUE
Luthuli museum,Luthuli museum,TRUE
Mafube local municipality,Mafube local municipality,TRUE
Magalies water,Magalies water,TRUE
Makana local municipality,Makana local municipality,TRUE
Makhado local municipality,Makhado local municipality,TRUE
Makhuduthamaga local municipality,Makhuduthamaga local municipality,TRUE
Mandela bay development agency,Mandela bay development agency,TRUE
Maphumulo local municipality,Maphumulo local municipality,TRUE
Market theatre foundation,Market theatre foundation,TRUE
Masilonyana local municipality,Masilonyana local municipality,TRUE
Matjhabeng local municipality,Matjhabeng local municipality,TRUE
Matzikama municipality,Matzikama municipality,TRUE
Mbhashe local municipality,Mbhashe local municipality,TRUE
