Item_desp,pay_num,category
0,2542554102,0
8,0,8
10,0,10
20,0,20
45,0,45
50,0,50
80,0,80
1127,0,1127
4140,0,4140
9327,0,9327
12420,0,12420
16560,0,16560
(Choose from dropdown list),0,(Choose from dropdown list)
Apron plastic disposable 100/per pack,460300,Apron
1 PLY TOILET PAPER,480,1 PLY TOILET PAPER
10 (VIP lunch),0,10 (VIP lunch)
10* SOAP DISPENSER,0,10* SOAP DISPENSER
100ml Empty spray bottles,0,100ml Empty spray bottles
12 LEAD ECG,0,12 LEAD ECG
12 PACKS OF STYROFOAM CONTAINERS,1872,12 PACKS OF STYROFOAM CONTAINERS
Apron plastic full body blue 25/pack,180000,Apron
"1400mm(W) x 680 mm(H) x 3mm Thick Desk Perspex Clear Screens includes 130mm(H) Feet, Supply and Installation",0,"1400mm(W) x 680 mm(H) x 3mm Thick Desk Perspex Clear Screens includes 130mm(H) Feet, Supply and Installation"
15 KG VIENAS VIR SOPKOMBUIS,2694,15 KG VIENAS VIR SOPKOMBUIS
16L Sanitiser rucksack,2016,16L Sanitiser rucksack
1l Empty spray bottels,0,1l Empty spray bottels
1L Sanitizer spray bottles 500ml,2000,1L Sanitizer spray bottles 500ml
2 BOXES 10KG CHICKEN,2082,2 BOXES 10KG CHICKEN
200 RESPIRATORY MASKS AND 200 MICRO FLOCK LINED FOR COMFORT GLOVES AS PER SPECIFICATION,30000,200 RESPIRATORY MASKS AND 200 MICRO FLOCK LINED FOR COMFORT GLOVES AS PER SPECIFICATION
200ml empty spray bottles 6’s pack,365,200ml empty spray bottles 6’s pack
200ml hand sanitizers,0,200ml hand sanitizers
20L LIQUID,3186,20L LIQUID
Apron plastic full body white single use,490990,Apron
25 Liters sanitiser,0,25 Liters sanitiser
250ML BOTTLE WITH PUMP,494,250ML BOTTLE WITH PUMP
Aprons,180855,Apron
PPE004 Apron,21237882,Apron
WHITE PLASTIC APRONS 100/PACK,100,Apron
25L drums hand sanitizer,0,25L drums hand sanitizer
25l Sanitazer,11069,25l Sanitazer
30 cleaning cloths to sanitize counters after clients has been assisted,150,30 cleaning cloths to sanitize counters after clients has been assisted
3PLY WASHABLE MASKS,0,Uncategorized masks
5 Litre Sanitiser,0,5 Litre Sanitiser
Body bag disp beige infant 500x500mm,281443,Body bags
500 Hampers food for Covid 19,100000,500 Hampers food for Covid 19
500 Spray Hand sanitizer 70% alc,0,500 Spray Hand sanitizer 70% alc
Body bag disposable medium beige 1 8x1m,513526,Body bags
500ml Empty spray bottles,0,500ml Empty spray bottles
500ML HAND SANITIZER BOTTLES 70% ALCOHOL,0,500ML HAND SANITIZER BOTTLES 70% ALCOHOL
Body bag disposable plastic medium,22500,Body bags
5l Empty bottles,0,5l Empty bottles
Body bag disposable plastic xx-large,5530,Body bags
5L SANI-WIPES,1099,Uncategorized sanitisers
Body bag disposable x-large beige 2 4x1m,77836,Body bags
Body bag vinyl beige small 1500x1000mm,158063,Body bags
"5l soap,hand, anti-bacterial",0,"5l soap,hand, anti-bacterial"
Body bag vinyl coated child 700x500mm,210000,Body bags
Body bag with window and zip large,103805,Body bags
Body bag with window and zip medium,70042,Body bags
Body bag with window and zip x-large,43000,Body bags
Body bags disposable beige large FPS,19350,Body bags
60% FOAM SOAP REFILL WITH PUMP IN A HYGIENICALLY SEALED PACKAGE FOR BATHROOM (ADHERENCE TO SANS 490) @ R135.50/1L Refil,1084,60% FOAM SOAP REFILL WITH PUMP IN A HYGIENICALLY SEALED PACKAGE FOR BATHROOM (ADHERENCE TO SANS 490) @ R135.50/1L Refil
"60% FOAM SOAP REFILL WITH PUMP IN A HYGIENICALLY SEALED PACKAGE FOR BATHROOM (ADHERENCE TO SANS 490) = (2 x 1L Refills @ R135,50/1L)",936,"60% FOAM SOAP REFILL WITH PUMP IN A HYGIENICALLY SEALED PACKAGE FOR BATHROOM (ADHERENCE TO SANS 490) = (2 x 1L Refills @ R135,50/1L)"
"60% FOAM SOAP REFILL WITH PUMP IN A HYGIENICALLY SEALED PACKAGE FOR BATHROOM (ADHERENCE TO SANS 490) = (35 x 1L Refills @ R135,50/1L)",5454,"60% FOAM SOAP REFILL WITH PUMP IN A HYGIENICALLY SEALED PACKAGE FOR BATHROOM (ADHERENCE TO SANS 490) = (35 x 1L Refills @ R135,50/1L)"
"60% FOAM SOAP REFILL WITH PUMP IN A HYGIENICALLY SEALED PACKAGE FOR BATHROOM (ADHERENCE TO SANS 490) = (4 x 1L Refills @ R135,50/L)",1247,"60% FOAM SOAP REFILL WITH PUMP IN A HYGIENICALLY SEALED PACKAGE FOR BATHROOM (ADHERENCE TO SANS 490) = (4 x 1L Refills @ R135,50/L)"
"60% FOAM SOAP REFILL WITH PUMP IN A HYGIENICALLY SEALED PACKAGE FOR BATHROOM (ADHERENCE TO SANS 490) = (66 x 1L Refills @ R135,50/1L refill)",10752,"60% FOAM SOAP REFILL WITH PUMP IN A HYGIENICALLY SEALED PACKAGE FOR BATHROOM (ADHERENCE TO SANS 490) = (66 x 1L Refills @ R135,50/1L refill)"
6x 100ml empty spray bottles 6’s pack,225,6x 100ml empty spray bottles 6’s pack
Body bags disposable beige small FPS,486000,Body bags
PPE014 Body bags,7602687,Body bags
Cleaning,2399356,cleaning services
Cleaning services during COVID-19,2495711,cleaning services
"Provision of cleaning services at Brakpan, Springs and Daveyton Magistrate Courts (JHBE20/058)",559767,cleaning services
"Provision of cleaning services at Carltonville,Westonaria and Khutsong Magistrate Courts (JHB19/273)",357302,cleaning services
"Provision of cleaning services at Carltonville,Westonaria and Khutsong Magistrate Courts (JHBE 20/015)",510975,cleaning services
75% FOAM SOAP REFILL WITH PUMP IN A HYGIENICALLY SEALED PACKAGE FOR BATHROOM (ADHERENCE TO SANS 490) @ R135.50/1L Refil,407,75% FOAM SOAP REFILL WITH PUMP IN A HYGIENICALLY SEALED PACKAGE FOR BATHROOM (ADHERENCE TO SANS 490) @ R135.50/1L Refil
750ml cleaner detergent handy andy bottles,0,750ml cleaner detergent handy andy bottles
750ml Cooking Oil,75960,750ml Cooking Oil
750ml Empty sray bottles,0,750ml Empty sray bottles
750ml Jik bottles,0,750ml Jik bottles
750ml liquid dishwashing bottles,0,750ml liquid dishwashing bottles
80New Foam Matrasses,16595,80New Foam Matrasses
A3 POSTERS,3784,A3 POSTERS
