,No,Institution_name,Item_d,Supplier_name,Service_desp,Unit_price,Quantity,UOM,Date_order,Order_amount,Date_payments,Payments,pay_num,order_num,cleaned_name,Item_desp,No_per_unit,price_per_mask,real_quan
0,10,TRANSNET SOC LTD,PPE001 Surgical masks for patients,Songo Africa,0,6.05,1000.0,Each,2020-12-31,"R6,050.00",,"R6,050",6050,6050.0,Transnet soc ltd,PPE001 Surgical masks for patients,1.0,6.05,1000.0
1,11,TRANSNET SOC LTD,PPE001 Surgical masks for patients,Songo Africa,0,6.05,2000.0,Each,2020-12-31,"R12,100.00",,"R12,100",12100,12100.0,Transnet soc ltd,PPE001 Surgical masks for patients,1.0,6.05,2000.0
2,100,EASTERN CAPE - SOCIAL DEVELOPMENT AND SPECIAL PROGRAMMES,PPE001 Surgical masks for patients,Lugcobo holdings,0,6.0,4000.0,Each,2020-08-31,"R24,000.00",2020-09-15,"R24,000",24000,24000.0,Eastern cape - social development and special programmes,PPE001 Surgical masks for patients,1.0,6.0,4000.0
3,101,BITOU MUNICIPALITY,PPE002 Surgical masks for healt care workers,Kukokonke Trading (Pty) Ltd,Surgical Mask- Disposable,4.95,500.0,Each,2020-08-31,"R23,950.00",2020-08-31,"R23,950",23950,23950.0,Bitou municipality,PPE002 Surgical masks for health care workers,1.0,4.95,500.0
4,102,HOME AFFAIRS,PPE003 Respirator mask,Uhambo Procurement,0,347.0,100.0,Box of 50,2020-08-31,"R39,900.00",,R0,0,39900.0,Home affairs,"respirator masks (FFP2, N95)",50.0,6.94,5000.0
5,110,EASTERN CAPE LIQUOR BOARD,PPE018 3 Layer fabric cloth masks,ELK Projects,0,40.0,740.0,Each,2020-08-31,"R29,600.00",2020-09-25,"R29,600",29600,29600.0,Eastern cape - liquor board,cloth masks,1.0,40.0,740.0
6,112,NORTHERN CAPE DEPARTMENT OF EDUCATION,PPE018 3 Layer fabric cloth masks,HIGH FIVE MANUFACTURES,Toilet Paper,20.13,1500.0,Each,2020-08-31,"R30,195.00",2020-02-10,"R301,950",301950,30195.0,Northern cape - education,cloth masks,1.0,20.13,1500.0
7,113,WEST RAND DISTRICT MUNICIPALITY,PPE018 3 Layer fabric cloth masks,Andrew joy Trading,0,30.0,100.0,Each,2020-08-31,"R3,000.00",2020-07-09,"R3,000",3000,3000.0,West rand district municipality,cloth masks,1.0,30.0,100.0
8,161,GAUTENG - HEALTH,Mask face surgical with ties 3 ply,NATIONAL MEDICAL SUPPLIES,0,0.8,80000.0,Box of 100,2020-07-31,"R64,000.00",,R0,0,64000.0,Gauteng - health,Uncategorized masks,100.0,0.008,8000000.0
9,199,PERISHABLE PRODUCTS EXPORT CONTROL BOARD,PPE001 Surgical masks for patients,Safetymate,0,460.0,40.0,Box of 50,2020-07-31,"R18,400.00",2020-11-09,"R18,400",18400,18400.0,Perishable products export control board,PPE001 Surgical masks for patients,50.0,9.2,2000.0
10,200,GARDEN ROUTE DISTRICT LOCAL MUNICIPALITY,PPE002 Surgical masks for healt care workers,KINGPIN SUPPLIERS,0,287.5,25.0,Box of 50,2020-07-31,"R7,187.50",,"R7,188",7188,7187.5,Garden route district local municipality,PPE002 Surgical masks for health care workers,50.0,5.75,1250.0
11,201,ETHEKWINI MUNICIPALITY,PPE003 Respirator mask,BHANGABHANGA ENGINEERING SERVICES,500X FFP2 DUST MASK,24.0,500.0,Each,2020-07-31,"R12,000.00",2020-09-17,"R12,000",12000,12000.0,Ethekwini municipality,"respirator masks (FFP2, N95)",1.0,24.0,500.0
12,202,OKHAHLAMBA LOCAL MUNICIPALITY,PPE003 Respirator mask,UTHINGO KITCHEN,KN95 Masks,37.5,100.0,Each,2020-07-31,"R3,750.00",2020-08-15,"R3,750",3750,3750.0,Okhahlamba local municipality,"respirator masks (FFP2, N95)",1.0,37.5,100.0
13,203,PETROSA,PPE003 Respirator mask,Pienaar Bothers,0,35.65,400.0,Each,2020-07-31,"R14,260.00",,"R14,260",14260,14260.0,Petrosa,"respirator masks (FFP2, N95)",1.0,35.65,400.0
14,217,OKHAHLAMBA LOCAL MUNICIPALITY,PPE018 3 Layer fabric cloth masks,EYODONDA SUPPLIERS,0,25.0,800.0,Each,2020-07-31,"R20,000.00",2020-08-15,"R20,000",20000,20000.0,Okhahlamba local municipality,cloth masks,1.0,25.0,800.0
15,475,ILEMBE DISTRICT MUNICIPALITY - KZN,PPE001 Surgical masks for patients,ANNIEBUG TRADING,0,25.0,1000.0,Each,2020-03-31,"R25,000.00",,R0,0,25000.0,Ilembe district municipality - kzn,PPE001 Surgical masks for patients,1.0,25.0,1000.0
16,476,ILEMBE DISTRICT MUNICIPALITY - KZN,PPE001 Surgical masks for patients,HAZ TRADING,0,32.0,1000.0,Each,2020-03-31,"R32,000.00",,R0,0,32000.0,Ilembe district municipality - kzn,PPE001 Surgical masks for patients,1.0,32.0,1000.0
17,477,MERAFONG LOCAL MUNICIPALITY,PPE001 Surgical masks for patients,Minatlou Trading 652,0,28.9,1000.0,Each,2020-03-31,"R28,900.00",2020-03-31,"R28,900",28900,28900.0,Merafong local municipality,PPE001 Surgical masks for patients,1.0,28.9,1000.0
18,478,SA POLICE SERVICE,PPE001 Surgical masks for patients,Joseview Tol,0,30.0,1000000.0,Box of 50,2020-03-31,"R30,000,000.00",2020-04-20,"R30,000,000",30000000,30000000.0,Sa police service,PPE001 Surgical masks for patients,50.0,0.6,50000000.0
19,479,SA POLICE SERVICE,PPE001 Surgical masks for patients,Zambayise,0,28.97,1700.0,Box of 50,2020-03-31,"R49,250.00",2020-04-24,"R49,250",49250,49250.0,Sa police service,PPE001 Surgical masks for patients,50.0,0.5794,85000.0
20,480,SA POLICE SERVICE,PPE001 Surgical masks for patients,Makintankwe Trading,0,82.99,210000.0,Box of 50,2020-03-31,"R17,427,900.00",2020-05-13,"R17,427,900",17427900,17427900.0,Sa police service,PPE001 Surgical masks for patients,50.0,1.6598,10500000.0
